,content
question,"Savings Investments Insurance General Asked by Kenneth LouAsked on 03 Oct 2018Who would you want us to get for the next AMA (Ask me Anything) and why?Looking to crowd-source suggestions for our next AMA! So far, we've had SGBudgetbabe, Investment Moats and SGYI. Do be as creative and forthcoming as possible!10 answersAnswerBump3"
0,Answers (10)Sort By Most UpvoteMost UpvoteMost Recent
1,"Vinod DassLevel 4. ProdigyUpdated on 07 Jun 2019It would be great if you could bring in Luke Ho (https://seedly.sg/profile/luke-ho). I’ve been following his content quite a bit recently and I like how forthcoming and generous he is with his answers despite the fact that he’s an FA. He also has a blunt way of talking that I find pretty refreshing (after all the hedging language that I’ve experienced with FAs). I haven’t seen much Govt policy talk in his Seedly answers but based on what he shares on Facebook, he can probably handle it just fine.7 comments28"
2,"See all 7 comments Vernon Ong04 Oct 2018Had a chat with him online. I found him to be genuinely interested in helping me, not just pushing products that made more comm for himSabari06 Oct 2018A sincere Financial adviser. Not a pushy person and explains policies in detail. Definitely recommended.  "
3,Xinyi LumLevel 5. GeniusUpdated on 07 Jun 2019I'm gonna throw this out here.​Am I the only one who wants to see AK ASSI on Seedly?​This home grown legend: http://singaporeanstocksinvestor.blogspot.com/1 comment9
4,"Kenneth Lou03 Oct 2018Another interesting choice, yeah we’re looking at ways to get to him :) can up all of our level together!"
5,"Gabriel Tham, Kenichi Tag Team Member at Tag TeamLevel 8. WizardUpdated on 07 Jun 2019Yeap Ming Feng. I think many girls want to know where he can buy cheap undies and bra? 2 comments4"
6,Kenneth Lou03 Oct 2018Lol interesting. @Yeap Ming Feng: now your caffine into creatives going the wrong direction lol Ck Chai04 Oct 2018🤣🤣🤣
7,"Kenneth Lou, Co-founder at SeedlyLevel 8. WizardUpdated on 07 Jun 2019So far we are thinking of people who could really make a difference in terms of experienced sharings and answering in terms of: ​Income (Career)InsuranceCPFInvestments (passive and active)Policy (Government wise)​Feel free to drop any names also :)5 comments3"
8,"See all 5 comments Kenneth Lou04 Oct 2018Yeah @Loh Tat Tian, the difficult one is usually the Tax Relief portions... even we get confused every year!Loh Tat Tian04 Oct 2018Tax Relief are generally based on criteria. Its quite easy to follow through if you download their Excel provided at IRAS page. Then go through which criteria do you hit, e.g most of the time, the relief comes on 3 subjects


1) Dependents spending e.g (handicap / parents relief / child etc)
2) Retirement Planning (SRS, retirement sum topping up)
... (more)"
9,Nicholas ChanLevel 5. GeniusUpdated on 07 Jun 2019Gabriel & Kenichi together. I wonder if they are a real life couple! 1 comment2
10,Kenneth Lou03 Oct 2018Lol maybe they found love in Seedly. Tag team buddies 🤔
11,"Jeff Yeo,   amateur Social contributor  at School of social sharingLevel 6. MasterUpdated on 07 Jun 2019Growing your tree of prosperity - Christopher 1 comment2"
12,Kenneth Lou03 Oct 2018interesting choice!
13,Yong Kah HweeLevel 6. MasterUpdated on 07 Jun 2019Dr Wealth!!1 comment1
14,Kenneth Lou03 Oct 2018Cool got it :)
15,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardUpdated on 07 Jun 2019Dr. Wealth :)2 comments1"
16,Kenneth Lou03 Oct 2018Got it :) working on it!HC Tang03 Oct 2018Thanks bro 😄👍🙌
17,"Png Cheng Xi Damien, Happy Life Seeker at HomeLevel 4. ProdigyUpdated on 07 Jun 2019Lee hsein loong to talk about govt policies... 1 comment0"
18,"Leong Wen Fong01 Nov 2018Hahaha, we also want uh - you got his number?"
19,"Lim Chun Long Jimmy, Distributor at Newbrand Organic Green TeaLevel 5. GeniusUpdated on 07 Jun 2019Art Works Singapore​Invite Troy Sadler or Samuel Hardwick from Art Works Singapore, to share more about art as an investment for both passive income and capital gains.1 comment0"
20,Kenneth Lou03 Oct 2018Haha thanks for sharing Jimmy :)
