,content
question,"Savings Lifestyle General Asked by AnonymousAsked on 24 Jun 2019I'm already 27 years old but compared to my peers, my savings are very very low, feeling abit desperate to grow my savings, anyone has any advice pls! I’m 27 and I have barely $9k in savings now. I admit I have been making a lot of impulse purchases and the purchases are big sums. Since last month purchases slowed down, I am at a loss so I’m seeking help here. What should I do?salary ~$3.5k (been working just slightly over 2 years) single, no other commitments1 savings acc, 1 monthly spendings, 1 CCrent $700, insurance $300, parents $500 (~$1550 including misc subscription)monthly allocated $800 for food and entertainment8 answersAnswerBump8"
0,Answers (8)Sort By Most UpvoteMost UpvoteMost Recent
1,"Gabriel Tham, Tag Team Member at Kenichi Tag TeamLevel 8. WizardUpdated on 03 Jul 2019If you want to supercharge your savings, perhaps your food and entertainment can cut down. Simple example calculation here: Lunch $5 + Dinner $5 =$10 a day. 30 Days, $300.Why didn't count breakfast? Buy a loaf of bread + butter or peanut butter, even nutella also can. 1 Week 1 loaf of bread = about $2 a week.You need some entertainment, maybe a movie a week $10. Restaurant don't eat so expensive, can go those $20-30 range.
I think you can cut down your $800 food/entertainment as a single. No starbucks, no bubble teas :)3 comments5"
2,See all 3 comments Gabriel Tham01 Jul 2019You can do it!Rx03 Jul 2019I’m doing that too! And it works pretty well. Best is to track ur expenses so you can cut down on unnecessary expenses!
3,"Sarah Chan, Business Administration at NUSLevel 6. MasterUpdated on 01 Jul 2019Hi anon,I recently answered a similar question, you can have a look at my analysis here: https://seedly.sg/questions/i-have-been-working-on-a-plan-to-achieve-financial-independence-but-it-hasn-t-been-going-too-well-anyone-has-any-advice?aid=16497My additional advice for you would be:YES, keep those impulse purchases down. I'm quite a shopaholic as well tbh (used to be a super reckless spender too), but I try to keep my expenses at bay by following the following tips:Cook more often to save money from eating out! Meal prepping is really helpful at saving money + attempting to be healthy haha.Find free activities to do in your spare time, there are plenty in Singapore!! There are blog articles and Telegram channels sharing deals, promos & events in Singapore which are free or really inexpensive. Here’s a Seedly article compiling all the Telegram channels in SG that you should follow! Use money saving apps & tools to help you save a little while you’re spending. Check out our Seedly article on money saving tools a Singaporean should use! My personal favourite is Shopback for online shopping & ShopbackGo for meals. Do your expense tracking. Of course, I would like to plug the Seedly app for expense tracking because we have a really intuitive & user friendly interface! You can also set limits on certain categories of expenditure (this is how I limit my Grab rides haha).We all grew up with the 3Rs in Singapore, yeah? Environmentalists believe in 2 additional Rs: Refuse and Repair. Refusing is the way to go if you wanna control your expenditure, especially if it's a want instead of a need.Follow our Seedly salary allocation model diligently!! It's a good tool for starters beginning their personal finance journey. Thereafter, you can plan for the other components of your personal finance too, i.e. debt and insurance.Read up! Like many other answers, you should definitely read to beef up your investing and personal finance knowledge. You can learn more on our Seedly blog for FREE! We've got plenty of articles on all 5 verticals of personal finance :)Hope this helped! All the best :)1 comment2"
4,Question Poster01 Jul 2019Thank you for the link. I’ll read up and come up with a plan. I’ve been a YNAB app user since first launch and I’m considering to use it again.
5,"Yong Kah HweeLevel 6. MasterUpdated on 01 Jul 2019The very first thing you should do is to track your expenses, then find out where you can cut. To be honest, $800 per month for someone single and with no commitment is really high! For myself, I allocate about $350 for food and entertainment per month.Start investing. Read up. Seedly has many good resources. There are also many financial bloggers available online; all you have to do is to Google them.Cut down on subscriptions, if you can. Do you really need them? You can also choose to share subscriptions with people (for example, Spotify's family plan, which is only $2.50/month)Set up a high interest savings account. Trust me, you'll feel good when you see the interest you are getting increasing month after month.1 comment2"
6,Question Poster01 Jul 2019Will probably save up to a healthy sum in savings before considering investments. Will relook my subscriptions again.
7,"MujimoroLevel 4. ProdigyUpdated on 01 Jul 2019Short term:
CUT big impulse purchases immediately. And are there any other ways to cut expenditure, for e.g. on food? There are plenty of low cost options out there.. what about rental?Mid term:
You need to save up enough for emergency funds before thinking about investing. What will happen if — touch wood — you’re faced with retrenchment or medical emergency? You should save up enough to cover around 6 months of salary as “emergency funds”. You might want to open a savings account with moderate interest rate as you grow this fund, for e.g. DBS multiplier (requires salary credit, CC spend, and other conditions) or CIMB FastSaver (lower interest rate but no conditions). There are lots of options out there, so do your research. Long term:
Once you establish your emergency funds, start looking at investing your savings into say RSP for STI ETF (around 2-3% return) or SSB or Robo-Advisor or similar. Remember, anything you save can be invested for the future; but remember to spend a little occasionally too as a treat :)1 comment2"
8,"Question Poster01 Jul 2019Thanks for the short, mid and Long term breakdown. I think this is what I’ll be adopting."
