,content
question,Seedly REITS Symposium Giveaway REITs Investments Securities Asked by Thaddeus TanAsked on 23 Apr 2019What is/are Singapore's best REITs in 2019? And why?The 20 best answers will win a ticket to the REITs Symposium 2019!23 answersAnswerBump9
0,Answers (23)Sort By Most UpvoteMost UpvoteMost Recent
1,"Victor WongLevel 3. WonderkidUpdated on 06 May 2019Frasers Centerpoint Trust.It has an annualised return of 9.5%~.Over the last 10 years, Frasers Centrepoint Trust has grown its distribution per unit from 7.51 cents to 12.015 cents, up by 60%, giving investors a compounded annual growth rate of 5.4%.As of the end of 2018, Frasers Centrepoint Trust had a relative low gearing ratio of 28.8%, one of the lowest among singapore reits. Its weighted average term to maturity is 1.8 years, and the all-in cost of borrowing is at 2.7%. Due to its low gearing ratio and cost of borrowing, Frasers Centrepoint Trust will have a good position, from a growth perspective, in the long run.Frasers Centrepoint Trust has price-to-book ratio of 1.1, suggesting a low valuation, and distribution yields of 5.2%It has 6 shopping malls across singapore with 3 acquisitions. Most of its revenue comes from Causeway Point, Changi City Point and Northpoint City after the renovations. All these shopping malls are located next to a MRT station, while being well maintained and managed, it will continue to prosper.more information at: https://www.fool.sg/2019/02/21/better-buy-capitaland-mall-trust-or-frasers-centrepoint-trust-part-1/0 comments7"
2,"Cheryl Teng Sze HuiLevel 3. WonderkidAnswered on 27 Apr 2019SPH REIT would be the one I will keep my eyes on as they have been delivering consistently good performance since last year. Paragon and Clementi Mall continue to see positive rental reversions. SPH reits maintained an occupancy rate of 99.2 per cent, and the overall portfolio registered a positive rental reversion of 8.4 per cent for the first half.Contributions from their 2 major acquisitions The Rail Mall in Singapore and Figtree Grove Shopping Centre in Australia, both also boosted their numbers in the second quarter. Believe they will continue to generate growth opportunities for SPH REITs, driving DPUs to another record.0 comments2"
3,"Yeow Min QuanLevel 2. RookieUpdated on 24 Apr 2019The best REITS in 2019 will depend on which industry you are looking at or interested in. It also depends on the financial metric you are looking out for. Are you looking at yield or ROE etc.In my opinion, the best REITs in Singapore in 2019 would be the Industrial sector given that the demand for warehousing and data centre is likely to rise due to e-commerce and the need for large data centre to store servers for companies.In particular, EC World REIT would be a good choice since its yield is relatively high at 8.02% and their diversified portfolio consists of income-producing real estate which is used primarily for e-commerce, supply-chain management and logistics purposes. They also have a main focus in China which is expected to have strong demand for warehouse. (https://www.dbs.com.sg/treasures/aics/templatedata/article/industry/data/en/GR/072016/china_warehouse.xml)The China's government is also implementing a stimulus programme to drive economic growth in China (https://www.cnbc.com/2019/03/05/chinese-premier-li-keqiang-on-tax-cuts-monetary-stimulus-in-china.html) which is expected to drive overall economic activity.Looking at the financial and valuation side, its relatively low PE ratio (0.886) also means that it is currently undervalued and there's an upside for price increase. It also has a strong balance sheet and free cash flow which can support any potential economic downturn should it happen.0 comments2"
4,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardUpdated on 23 Apr 2019I'm gonna shed a slightly different perspective.I believe Singapore focus retail REITS will do best due to:Singapore has one of the best performing REITS market in the whole worldA small island living 5.71 millions of people and set to grow more. Other than traveling overseas, there no where to go on weekday/end for food and entertainment other than nearby malls.We can't be traveling every weekday / end, we're literally trapped! Where can we go ? JB Jam like mad on weekend / school holiday! Newest mall like Jewel just a hype. Once hype is over everything will go back to Location, Location, Location again!Reaserch also shows that Singaporean or those living in Singapore likes to go to mall rather than just online shopping/food delivery. I believe it is not just to see/sense touch and buy things, but for food, services and entertainment as human always wants fresh air (or free Aircond! :P) / variety and a change of environment.We liverally grow up with Malls / Shopping centre, we cannot live without. I personally grow up with malls in Orchard and other heartlands since i'm a boy. Can one find a singaporean who has never been to a mall for more than 30 times in his / her whole life ?Thus my choice is; SGX: CAPITALAND MALL TRUST REIT (SGX:C38U)The financial analysis shown by seedly on : https://blog.seedly.sg/review-reits-singapore-invest/?fbclid=IwAR3t3ptQ43Il-U2wwRSs6l0jMLcF2XQ6yYI1puxrr7HEa-bsHevbL9oS6GI is healthy, so I shall not repeat here.With 15 properties worth $10.5 billion, including Bedok Mall, Bugis+ and Tampines Mall, which all in hearthland occupying mature estate with high populations, a mix of local and foreigners, where can people go for food, product, service and entertainment but these malls ?Personally, my visit to Plaza Singapura, Tampines Mall and Bugis Junction for the past 10 years on weekday and weekend, I don't see any lack of patrons for food, product, services and entertainment. Management kept changing tenant mix and with AEI, it has done very well for all these malls.There's maybe nearby malls as competitors , but variety and different choices is key. Each adjacent mall don't have the same tenant and the same offerings (but the same boring one only exist in malls of different zone (north , central, east and west)]. Bored! haha.Even latest Changi's crown Jewel has almost everything, but it's located at extreme east. If I want something fast and easy and can get home in a short time without the crowd, I'll go nearby neighbourhood malls such as Bedok / tampinese mall rather than Jewel, I'll go jewel if I want something new / fresh / different or have the time to go but daily needs mostly heartland malls like the above would have suffices just nice.Finally, E-Comm is here to stay. I personally get almost everything online, groceries and food. However, i still felt like going to malls on weekday or weekend to have a walk, see something different, consume some different food and services. Friends and family also visit malls for the similar reason.At the end of the day, we still need to meet people face to face because we're not born to live and be alone, we need to communicate, hang out , eat, chat and entertain together and most of all, create memories on special occasions. We simply can't do these online!Thus, my vote goes to our very home Capitaland Mall Trust REIT.0 comments2"
5,"Yong Yu SianLevel 2. RookieAnswered on 05 May 2019Ascendas REIT. It is one of the largest diversified portfolio in the industry sector which mainly contains business and science parks, hi-specification industrials, light industrial and logistics. With the these sectors tightening, we can expect more growth from there. Also, it has acquired 26 premium logistics in Australia for 1 billion which contributes to 13.2% of A-REIT. With a yield of 5.43%, i think it is a very good REIT0 comments1"
6,"Vincent LimLevel 2. RookieAnswered on 04 May 2019Definitely Mapletree REITs, as I work at Mapletree Business City.0 comments1"
7,Darren PhuaLevel 2. RookieAnswered on 23 Apr 2019Capitaland and mapletree for stability and consistent growth!0 comments1
8,"Alex Chua Cheng En, Pcme at Anderson Junior CollegeLevel 4. ProdigyUpdated on 23 Apr 2019Everyone has their ideal REITs. Other than earning your stable dividend payout, you would not want to lose money. 
There is no best REITs. There is only better REITs out of the choices available at that moment of time in your level of confidence. The Reits can be good fundamentally, just that it is sold at a premium value or too pricely. What is measured as decent by most are:-growing dpu (distribution per unit)gearing ratio-interest coverage-balanced weighted average lease expiry-good management team.Spoilt with choices or in a dilemma, you can build a better or more balanced Reits with a portfolio of good REITs u understood. This could potentially reduce unnecessary risk and reduce money loss0 comments1"
9,"Rave Ong Ci DeLevel 5. GeniusAnswered on 23 Apr 2019There is no best REITs because different REITs get affected by different industry factors. For retail REITs, the occupancy rate differs from say an industrial REITs. The retail REITs would need anchor tenants who in turn, would attract other tenants to join, e.g. Think A&W and Pokemon Centre at Jewel, which attracted other tenants to come in. Compared that to industrial REITs which would not need anchor tenants, but more on security features to stop unauthorised entries. All REITs are affected by interest rates, due to their debts. So if US decides to increase the Fed interest rates, expect SG’s interest rate to go up. This in turn, would hurt all the REITs, unless they have all done some sort of interest rate swap/hedge. Even then, they would minimise the inpact and not eliminate it.0 comments1"
10,"Jeff Yeo,   amateur Social contributor  at School of social sharingLevel 6. MasterAnswered on 23 Apr 2019Capital land, A-REITs and maple tree are the top performing with a planned portfolio which I believe is a key factor in sustained growth. On another note you can also look at trusts0 comments1"
