,content
question,SeedlyTV EP06 CPF Lifestyle Giveaways Asked by Kenneth LouAsked on 12 Jun 2019(SEEDLYTV EP06 GIVEAWAY) Share your best CPF hack OR an interesting personal CPF story!?ONE Lucky Winner will win $80 of GRAB Vouchers! May the luck be in your favour. Be most creative or share your personal story to win! We'll choose the winner by next week!9 answersAnswerBump3
0,Answers (9)Sort By Most UpvoteMost UpvoteMost Recent
1,"Kenneth Lou, Co-founder at SeedlyLevel 8. WizardAnswered on 12 Jun 2019Personally for me, my story is one of my own experience with my dad, a close family member.I have two main stories to share!When my dad got brain cancer and activated his DPS (which gave him $56k right off the blocks: https://blog.seedly.sg/dependants-protection-scheme-dps-singapore/)When my dad subsequently passed on and we got the CPF balance in a cheque/cash format, it really shows you the value and that the CPF money is REAL and not just a digit on a screen.However, encompassing this story, is the idea that while CPF is ultimately good for retirement, it is also important to live life while you can, because life is short! :)So don’t worry so much about your CPF monies, use what you can externally to work with your shorter term goals!0 comments6"
2,"Hariz Arthur Maloy, Independent Financial Advisor at Promiseland IndependentTop Contributor (Sep)Level 9. God of WisdomAnswered on 12 Jun 2019I'm sure quite a lot of people will talk about OA and SA, CPF Life, or even housing scheme.I'd like to share about Medisave and the 2 insurance programs we are so fortunate to have. Medishield Life and Eldershield (soon, Careshield Life).We often hear about health insurance being a huge issue for other countries especially the US. And though we don't have free healthcare. We have a self-funded Healthcare. Plus, the massive subsidies that the government gives us when paying for Medishield Life premiums.The best thing here is that everyone's covered from day 1 for Medishield Life. Even people with pre existing illnesses. I work as an FA and I see so many individuals being rejected for insurance due to pre-exs. But they can still rely on Medishield Life no matter what. Next is Eldershield. Long term care insurance is hugely underrated and barely talked about. But we underestimate the costs of care in old age. We are not only living longer, but we're living longer healthy or ill. Eldershield allows us a payout to live our last few days in comfort through paying for care in a nursing home if required. And soon, we'll get a payout for life. I've spent the last 2 years of my career making sure all my clients understand Eldershield and get more payout for life. I was so happy when Careshield Life would already do that from day 1! With an escalating payout some more! Amazing. These 2 schemes with Medisave is really a backbone to make sure we live comfortable lives during our worst days, when we're sick and fragile. Thank you CPF!0 comments5"
3,"Ken OngLevel 2. RookieUpdated on 12 Jun 2019Use cash to top up my medisave account BEFORE my special account. Understand that my money is locked up with cpf til im 65 or later. the compounding effect can help to prepare for my retirement in the long term. Also, cash top-ups reduces my taxable income (reduce my income tax).0 comments3"
4,"T@Takingstock @Level 5. GeniusUpdated on 13 Jun 2019Prob not a hack, but over the past year, I have different perspective of CPF now.One of the important things to note is even if you have to declare bankruptcy, your cpf balance is yours alone, and as long as you are alive, creditors and family cannot touch it.This point makes the cpf oa somewhat a useful ""bank account"" that can help folks from humble backgrounds work towards their future. For the folks who earn below average wages, they will often need to focus on expenses and hardly be able to invest. Hence if they could learn more to optimise cpf oa, it could very well help them to buy a decent hdb. For this group, if I could advise, I would hope they learn to make the employer pay their cpf and forsake some cash in pay (especially if they are part work part study). Let them use the 2.5% and compounding to quickly get through the minimum 35k, and start to use the oa for decent investments with quarterly dividends. Use compounding to make it roll, and slowly build up this dividend income. Then work towards a goal to build the dividend income to service the hdb loan payments.This would be an ideal outcome, because this group also face tremendous risk of being obsoleted by future technology or cheaper foreign labor. If they could get some of this help, maybe they would need to worry less about losing the roof over their heads.0 comments2"
5,"Zen Rogue XuanLevel 5. GeniusUpdated on 16 Jun 2019My best CPF would be NOT choosing to utilise all your CPF OA monies to pay for your BTO HDB flat.Why would I do that?The answer is simple. The sum that is withdrawn for paying your HDB will have interest accrued on it, which means that by choosing to utilise CPF for your home loan you will ""own"" yourself interest, instead of CPF paying you interest! In other words, when you sell your property, not only will you have to pay back the principal(20k), you also need to pay back the compounded interest on it as if it was sitting in your CPF OA.On the other hand, by paying in cash, the 20k of your CPF monies left inside earns an additional 1% interest on top of prevailing rates(bonus interest applies to first 60k of your CPF monies accross the three accounts: OA, SA, MA) so you enjoy a wonderful thing called ""inversion""- in which your CPF monies would be working harder than that of the loan. This is because HDB loan charges a 2.6% interest, which is 0.1% on top of the current OA rate of 2.5% interest. However, the first 20K in OA will yield a 2.5% + 1% = 3.5% interest so you get 0.9% more every year!Also, the 20k balance in your OA can also serve as a security net to cover the monthly mortgage instalments for your BTO in times of need eg retrenchment or unexpected illnesses. This can really help you ease your mind in hard times- you don't have to spend sleepness nights worrying about how can you service your mortage loan.In fact, if you were more adventerous, you can do an OA to SA transfer and that can net you a wonderful 4%+1% = 5% interest rate! Such an act would let you witness the awesome power of compound interest: the amount you put in will x2.5 in 25 years time!0 comments1"
6,"Christopher HowLevel 4. ProdigyAnswered on 12 Jun 2019My mum is on the minimum sum scheme that pays her close to $500 per month for 10 years. After doing the math, I decided to top up her RA with at least $300 each month as that $300 becomes $489 through 10 years of compound interest and then gets paid out to her. This is my way of sustaining her retirement income from CPF.0 comments1"
7,"Sk TanLevel 2. RookieUpdated on 16 Jun 2019Hack to be assured of a higher cash inflow after 55 from 4% pa interest earned on a bigger SA balance, annual interest which you can withdraw every year or let it compound and snowball into a bigger second retirement fund risk-free, apart from CPF Life!  Yes you can stop CPFB from automatically transfer all your SA (except 40k) funds into RA at 55.  It is legitimate.  You cannot do it only if you do not know this loophole or how to hack to stop the SA transfer.  Read this  articel to understand and know how : https://smartinvesting18.blogspot.com/2019/06/how-to-stop-sa-to-ra-transfer-at-55.html3 comments0"
8,"See all 3 comments Hariz Arthur Maloy15 Jun 2019RA will take from SA first because that's literally the only use for the SA. But yes investing it before age 55 so RA can't take it, is a good hack.Sk Tan16 Jun 2019If SA is only used for retirement, then CPFB should not allow it to be invested to escape from cpfb auto transfer to RA at 55, especially less than 1 year before 55.  Since cpfb allow such hacks, then there is no reason for its policy to transfer from SA first, they should change policy to transfer from OA then SA. Why create a policy which only those who know and rich can benefit only?"
