,content
question,"StashAway Robo-Advisors SeedlyTV EP04 Investments Asked by AnonymousAsked on 23 Jul 2019Any tips/suggestions for a newbie investing in Stashaway?Hello, I am about to invest in Stashaway for the first time and would like to learn from the community any tips/suggestions/advise when it comes to investing with them. Is it recommended? Or are there any other options?6 answersAnswerBump2"
0,Answers (6)Sort By Most UpvoteMost UpvoteMost Recent
1,"Hariz Arthur Maloy, Independent Financial Advisor at Promiseland IndependentTop Contributor (Sep)Level 9. God of WisdomUpdated on 01 Aug 2019Nothing about the platform, but instead, are you ready to start investing?My main concern with many retail investors using passive based instruments is that because markets have been doing well, everyone can show fantastic 10 yr annualized returns, but when we see a 20-40% drop, many will sell off because it's just too easy, only a press of a button away.So my question is that if that happens, what do you do? Will you say Stashaway is bad? You can't, because they just follow the global market.
So figure out the game plan before investing a single dollar in any product.1 comment8"
2,Luke Ho01 Aug 2019This is so helpful 👍
3,"Harvey TanLevel 5. GeniusUpdated on 02 Aug 2019If you want a hand-off approach towards investing, Stashaway is alright. But so is many other robo-advisors. Hard to tell difference between them. Main differentiator between the different robo-advisory are the engine that determine the asset allocation as well as fund selection.The engine is based off a finanical model that takes in economic data.The good thing about robo-advisors is they are mostly investing in low-cost broadly diversifed ETFs from big name issuers such as Vanguard and Blackrock. And they are mostly investing passive products. Even then, most charge on average about 0.70% pa, excluding the fund expense ratio. All in cost, I suspect comes in at about 0.9%-1% pa.Strange thing about Singapore is that passive product does not seems to have the same amount of traction as compared to US. Maybe it is the lack of education or could just be the way the advsiory business is being set up in Singpaore. My main concern with active funds is that although the market has been doing pretty well for the past decade, most active funds across asset classes (in US context, doubt the stats will change much for any active funds anywhere else in the world) are underperforming the benchmark.Note that most active managers collect their fees regardless of the underlying fund performance. The probability of you choosing an advisor that can construct a portfolio that generate consistent alpha in the long run is close to NONE, which is as good as the probability of a fund manager selecting winning stocks in the long run.Google ""SPIVA report"". Some argue active management would have better results in bear market. Once again, the SPIVA report would beg to differ. Perhaps the only good thing about having an advisor is that they can help calm your nerves in a market crash. Go get a dog for that. (apologies for my humor)Would recommend you read the following books :The little book of common sense investingThe Intelligent investorA random walk down wall streetLastly, do your own due diligence.2 comments3"
4,"Luke Ho01 Aug 2019Https://www.moneymaverickofficial.com/post/every-single-passive-fund-manager-underperform-reason 

SPIVA is pretty flawed, since you want to take a lot in the local context not accounting for MAS. 

The gross yields for the SNP500 were about 9% annualized but only 7% in the last 30 years, not even beginning to look at  fees, withholding tax and forex risk. It's peanuts compared to what you can achieve with an active fund outside that area.Harvey Tan02 Aug 2019Hi Luke

The Money Maverick (MM) article has weak if not laughable arguments.
In short, the MM article and your argument have no real substance to discredit most of the findings by SPIVA. 


1) The MM article claim that mutual funds should be compared to their ETFs with the same benchmark rather than to the bench... (more)"
5,"Albert Tan, Fin Lit Trainer at MoneyOwlLevel 4. ProdigyAnswered on 24 Jul 2019Agreed with Hariz on readiness of the investor. You need to be clear of your investment objectives. Your need, ability, and willingness to take risks also need to align with your financial goals.A platform is just a place for you to execute your investments. Perhaps it might be good to consider the adviser's alpha as well? In down markets, the ease of selling away with a click of a button may work against you.The key to a successful investing experience is to stay invested. It may sound crazy but at times, doing nothing may be the most difficult thing to do. Having the option for you to talk to someone amidst the volatility of your investment journey is definitely a plus.0 comments3"
6,"JLJoel LooLevel 2. RookieAnswered on 30 Jul 2019I think it’s a good approach if you want hands off. I have channelled some funds monthly for about 2-3 years and the returns so far is about 13%. Of course, the market is on a bull run so everything is nice and rosy. But when the market is down, be prepared to see negative returns.0 comments1"
7,"JWjiajing wangLevel 3. WonderkidUpdated on 31 Jul 2019You must have the determination and PATIENCE to keep you money in and monthly deposit in StashAway. Don't be pessimistic and think you can do better than the robo advisor if you have not seen gain initially. Lastly Sign up with my link and we'll both get up to $10,000 SGD managed for free for 6 months! https://www.stashaway.sg/referrals/jiajingw291 comment1"
8,"Boonhow Eng31 Jul 2019Suggestion is
1. decide on the amount you want to put in every month.
2. the amount is something you are comfortable with.
3. once decided, don happy happy increase, don happy happy decrease."
