,content
question,Stashaway Investments Robo-Advisors Promo Codes Asked by AnonymousAsked on 14 Apr 2019Anyone willing to share your StashAway referral code?For referral benefits to get discount on the AUM71 answersAnswerBump4
0,Answers (71)Sort By Most UpvoteMost UpvoteMost Recent
1,"Siow Nan, Electrical And Computer Engineering at NusLevel 6. MasterUpdated 2d agoIf you use my referral link below, you can get up to $10,000 managed for free for 6 months. At least for first 6 months you can try out with a smaller amount without management fees!!!!!!!!www.stashaway.sg/referrals/siownanw3zpr1 comment4"
2,Mohammad Hairunizam17 Aug 2019Thank You!
3,"Tee-Ming Chew, Co-founder at SeedlyLevel 6. MasterUpdated on 09 Jul 2019Sign up with my link and we'll both get up to $10,000 SGD managed for free for 6 months! https://www.stashaway.sg/referrals/teemingc85rd0 comments3"
4,"Low San ZengLevel 3. WonderkidUpdated 1w agoHave you started investing with StashAway yet? Sign up with my link and we'll both get up to $10,000 SGD managed for free for 6 months! https://www.stashaway.sg/referrals/sanzenglee0 comments1"
5,"Jonathan Ng, Economics at Singapore Management UniversityLevel 5. GeniusAnswered on 30 May 2019Sign up with my link and we'll both get up to $10,000 SGD managed for free for 6 months! https://www.stashaway.sg/referrals/baoxiannveba0 comments1"
6,"JWJethro WangLevel 2. RookieUpdated on 04 May 2019Have you started investing with StashAway yet? Sign up with my link and we'll both get up to $10,000 SGD managed for free for 6 months! www.stashaway.sg/referrals/jethrowdvj0 comments1"
7,"William NgLevel 2. RookieAnswered on 29 Apr 2019Have you started investing with StashAway yet? Sign up with my link and we'll both get up to $10,000 SGD managed for free for 6 months! https://www.stashaway.sg/referrals/kitsiannvd50 comments1"
8,Ting JianLevel 2. RookieAnswered on 27 Apr 2019Here is mine! www.stashaway.sg/referrals/tingy3ew40 comments1
9,"Jaren Ng Kok LiangLevel 2. RookieAnswered on 16 Apr 2019Have you started investing with StashAway yet? Sign up with my link and we'll both get up to $10,000 SGD managed for free for 6 months! https://www.stashaway.sg/referrals/jarenn8w0 comments1"
10,"Yun LongLevel 1. FreshieAnswered 1d agoHave you started investing with StashAway yet? Sign up with my link and we'll both get up to $10,000 SGD managed for free for 6 months! https://www.stashaway.sg/referrals/gohynwwk0 comments0"
11,"Jervenne OngLevel 1. FreshieAnswered 4d agoHave you started investing with StashAway yet? Sign up with my link and we'll both get up to $10,000 SGD managed for free for 6 months! https://www.stashaway.sg/referrals/ongye7nn0 comments0"
12,"NCNicholas ChiamLevel 1. FreshieAnswered 1w agoHave you started investing with StashAway yet? Sign up with my link and we'll both get up to $10,000 SGD managed for free for 6 months! https://www.stashaway.sg/referrals/chiakiac4kar0 comments0"
13,"Dedi NigolanLevel 1. FreshieAnswered 2w agoHey looking for StashAway refferal code? Sign up with my link and we'll both get up to $10,000 SGD managed for free for 6 months! https://www.stashaway.sg/referrals/dedinev0 comments0"
14,"MohdKhidir GazaliLevel 1. FreshieUpdated 2w agoHave you started investing with StashAway yet? Sign up with my link and we'll both get up to RM30,000 MYR managed for free for 6 months!https://www.stashaway.my/referrals/mohdkhiggp320 comments0"
15,"Tham Wen Long, Undergraduate  at National University of SingaporeLevel 1. FreshieUpdated 2w agoHave you started investing with StashAway yet? Sign up with my link and we'll both get up to $10,000 SGD managed for free for 6 months! https://www.stashaway.sg/referrals/wenlongt870 comments0"
16,Faizjufri FaridLevel 1. FreshieAnswered 2w agoHttps://www.stashaway.sg/referrals/faizfdw780 comments0
17,"Jean KhooLevel 1. FreshieAnswered 2w agoHave you started investing with StashAway yet? Sign up with my link and we'll both get up to $10,000 SGD managed for free for 6 months! https://www.stashaway.sg/referrals/jeank6w0 comments0"
18,"FFrederickLevel 1. FreshieAnswered 3w agoHave you started investing with StashAway yet? Sign up with my link and we'll both get up to $10,000 SGD managed for free for 6 months! https://www.stashaway.sg/referrals/frederisv7ge0 comments0"
19,"Shaun LimLevel 1. FreshieAnswered 3w agoHave you started investing with StashAway yet? Sign up with my link and we'll both get up to $10,000 SGD managed for free for 6 months! https://www.stashaway.sg/referrals/limjxqj0 comments0"
20,"EngKhai PhangLevel 1. FreshieAnswered 3w agoHave you started investing with StashAway yet? Sign up with my link and we'll both get up to $10,000 SGD managed for free for 6 months! https://www.stashaway.sg/referrals/phange8v0 comments0"
21,"Ben Ho Bang ZhouLevel 1. FreshieUpdated on 23 Sep 2019Sign up with my referral link below and we can both get up to $10,000 managed for free for 6 months. :)Been using for a year and i really like its simplicity!www.stashaway.sg/referrals/bangzhoh4880 comments0"
